[23:40:25.200] ADC:0 voltage:0.00 V | magnetic field   detected
[23:40:25.706] ADC:0 voltage:0.00 V | magnetic field   detected
[23:40:26.210] ADC:0 voltage:0.00 V | magnetic field   detected
[23:40:26.716] ADC:0 voltage:0.00 V | magnetic field   detected
[23:40:27.221] ADC:3760 voltage:3.03 V | magnetic field not detected
[23:40:27.725] ADC:3791 voltage:3.06 V | magnetic field not detected
[23:40:28.230] ADC:3803 voltage:3.06 V | magnetic field not detected
[23:40:28.736] ADC:3806 voltage:3.07 V | magnetic field not detected
[23:40:29.240] ADC:3807 voltage:3.07 V | magnetic field not detected
[23:40:29.746] ADC:3801 voltage:3.06 V | magnetic field not detected
[23:40:30.250] ADC:3792 voltage:3.06 V | magnetic field not detected
[23:40:30.755] ADC:3794 voltage:3.06 V | magnetic field not detected
[23:40:35.805] dx{|||~|ADC:3796 voltage:3.06 V | magnetic field not detected
[23:40:36.317] ADC:3796 voltage:3.06 V | magnetic field not detected
[23:40:36.815] ADC:3797 voltage:3.06 V | magnetic field not detected
[23:40:37.320] ADC:3796 voltage:3.06 V | magnetic field not detected
[23:40:37.824] ADC:3800 voltage:3.06 V | magnetic field not detected
[23:40:38.330] ADC:3798 voltage:3.06 V | magnetic field not detected
[23:40:38.835] ADC:3791 voltage:3.06 V | magnetic field not detected
[23:40:39.339] ADC:3793 voltage:3.06 V | magnetic field not detected
[23:40:39.845] ADC:3797 voltage:3.06 V | magnetic field not detected
[23:40:40.353] ADC:3800 voltage:3.06 V | magnetic field not detected
[23:40:40.854] ADC:3801 voltage:3.06 V | magnetic field not detected
[23:40:41.360] ADC:3801 voltage:3.06 V | magnetic field not detected
[23:40:41.865] ADC:3801 voltage:3.06 V | magnetic field not detected
[23:40:42.369] ADC:3797 voltage:3.06 V | magnetic field not detected
[23:40:42.874] ADC:3804 voltage:3.07 V | magnetic field not detected
[23:40:43.379] ADC:3800 voltage:3.06 V | magnetic field not detected
[23:40:43.884] ADC:3794 voltage:3.06 V | magnetic field not detected
[23:40:44.388] ADC:3801 voltage:3.06 V | magnetic field not detected
[23:40:44.893] ADC:3903 voltage:3.15 V | magnetic field not detected
[23:40:45.399] ADC:3901 voltage:3.14 V | magnetic field not detected
[23:40:45.904] ADC:3898 voltage:3.14 V | magnetic field not detected
[23:40:46.408] ADC:3901 voltage:3.14 V | magnetic field not detected
[23:40:46.913] ADC:3901 voltage:3.14 V | magnetic field not detected
[23:40:47.419] ADC:3906 voltage:3.15 V | magnetic field not detected
[23:40:47.924] ADC:3897 voltage:3.14 V | magnetic field not detected
[23:40:48.429] ADC:3896 voltage:3.14 V | magnetic field not detected
[23:40:48.934] ADC:3895 voltage:3.14 V | magnetic field not detected
[23:40:49.439] ADC:3897 voltage:3.14 V | magnetic field not detected
[23:40:49.943] ADC:3902 voltage:3.14 V | magnetic field not detected
[23:40:50.449] ADC:3903 voltage:3.15 V | magnetic field not detected
[23:40:50.953] ADC:3901 voltage:3.14 V | magnetic field not detected
[23:40:51.458] ADC:3900 voltage:3.14 V | magnetic field not detected
[23:40:51.963] ADC:3902 voltage:3.14 V | magnetic field not detected
[23:40:52.468] ADC:3905 voltage:3.15 V | magnetic field not detected
[23:40:52.973] ADC:3901 voltage:3.14 V | magnetic field not detected
[23:40:53.478] ADC:3900 voltage:3.14 V | magnetic field not detected
[23:40:53.983] ADC:3905 voltage:3.15 V | magnetic field not detected
[23:40:54.488] ADC:3900 voltage:3.14 V | magnetic field not detected
[23:40:54.993] ADC:3902 voltage:3.14 V | magnetic field not detected
[23:40:55.498] ADC:3903 voltage:3.15 V | magnetic field not detected
[23:40:56.003] ADC:3900 voltage:3.14 V | magnetic field not detected
[23:40:56.508] ADC:3901 voltage:3.14 V | magnetic field not detected
[23:40:57.012] ADC:3900 voltage:3.14 V | magnetic field not detected
[23:40:57.517] ADC:3901 voltage:3.14 V | magnetic field not detected
[23:40:58.023] ADC:3904 voltage:3.15 V | magnetic field not detected
[23:40:58.527] ADC:3906 voltage:3.15 V | magnetic field not detected
[23:40:59.032] ADC:3902 voltage:3.14 V | magnetic field not detected
[23:40:59.537] ADC:3905 voltage:3.15 V | magnetic field not detected
[23:41:00.044] ADC:3847 voltage:3.10 V | magnetic field not detected
[23:41:00.547] ADC:3889 voltage:3.13 V | magnetic field not detected
[23:41:01.053] ADC:3907 voltage:3.15 V | magnetic field not detected
[23:41:01.557] ADC:0 voltage:0.00 V | magnetic field   detected
[23:41:02.061] ADC:0 voltage:0.00 V | magnetic field   detected
[23:41:02.566] ADC:0 voltage:0.00 V | magnetic field   detected
[23:41:03.071] ADC:0 voltage:0.00 V | magnetic field   detected
[23:41:03.577] ADC:0 voltage:0.00 V | magnetic field   detected
[23:41:04.081] ADC:0 voltage:0.00 V | magnetic field   detected
[23:41:04.586] ADC:0 voltage:0.00 V | magnetic field   detected
[23:41:05.092] ADC:0 voltage:0.00 V | magnetic field   detected
[23:41:05.596] ADC:0 voltage:0.00 V | magnetic field   detected
[23:41:06.102] ADC:0 voltage:0.00 V | magnetic field   detected
[23:41:06.607] ADC:0 voltage:0.00 V | magnetic field   detected
[23:41:07.111] ADC:0 voltage:0.00 V | magnetic field   detected
[23:41:07.616] ADC:0 voltage:0.00 V | magnetic field   detected
[23:41:08.121] ADC:0 voltage:0.00 V | magnetic field   detected
[23:41:08.626] ADC:3898 voltage:3.14 V | magnetic field not detected
[23:41:09.132] ADC:3900 voltage:3.14 V | magnetic field not detected
[23:41:09.637] ADC:3886 voltage:3.13 V | magnetic field not detected
[23:41:10.141] ADC:3891 voltage:3.14 V | magnetic field not detected
[23:41:10.648] ADC:3899 voltage:3.14 V | magnetic field not detected
[23:41:11.152] ADC:3895 voltage:3.14 V | magnetic field not detected
[23:41:11.656] ADC:3883 voltage:3.13 V | magnetic field not detected
[23:41:12.161] ADC:3896 voltage:3.14 V | magnetic field not detected
[23:41:12.666] ADC:3885 voltage:3.13 V | magnetic field not detected
[23:41:13.171] ADC:3890 voltage:3.13 V | magnetic field not detected
[23:41:13.676] ADC:3893 voltage:3.14 V | magnetic field not detected
[23:41:14.182] ADC:3887 voltage:3.13 V | magnetic field not detected
[23:41:14.686] ADC:3894 voltage:3.14 V | magnetic field not detected
[23:41:15.190] ADC:3882 voltage:3.13 V | magnetic field not detected
[23:41:15.696] ADC:3888 voltage:3.13 V | magnetic field not detected
[23:41:16.200] ADC:3884 voltage:3.13 V | magnetic field not detected
[23:41:16.705] ADC:3887 voltage:3.13 V | magnetic field not detected
[23:41:17.210] ADC:3882 voltage:3.13 V | magnetic field not detected
[23:41:17.716] ADC:3880 voltage:3.13 V | magnetic field not detected
[23:41:18.220] ADC:3875 voltage:3.12 V | magnetic field not detected
[23:41:18.726] ADC:3881 voltage:3.13 V | magnetic field not detected
[23:41:19.230] ADC:3874 voltage:3.12 V | magnetic field not detected
[23:41:19.736] ADC:3880 voltage:3.13 V | magnetic field not detected
[23:41:20.240] ADC:3882 voltage:3.13 V | magnetic field not detected
[23:41:20.745] ADC:3879 voltage:3.13 V | magnetic field not detected
[23:41:21.250] ADC:3883 voltage:3.13 V | magnetic field not detected
[23:41:21.756] ADC:3880 voltage:3.13 V | magnetic field not detected
[23:41:22.260] ADC:3879 voltage:3.13 V | magnetic field not detected
[23:41:22.764] ADC:3888 voltage:3.13 V | magnetic field not detected
[23:41:23.271] ADC:3872 voltage:3.12 V | magnetic field not detected
[23:41:23.775] ADC:3871 voltage:3.12 V | magnetic field not detected
[23:47:53.982] xlltidy|x}|i||t|cr|rxsz|yscadx}|xsl|ixsxt|l||sxrtl~ttd|l|i{tmtls||srl||tri{dinvx|||~|smti|cxtstrkrkxs~llhlx|{iy|l|kcvmlx|xx|}|l|tti}oids{z}d|}|{~l|ADC:3901 voltage:3.14 V | magnetic field not detected
[23:47:54.487] ADC:3897 voltage:3.14 V | magnetic field not detected
[23:47:54.992] ADC:3899 voltage:3.14 V | magnetic field not detected
[23:47:55.497] ADC:3896 voltage:3.14 V | magnetic field not detected
[23:47:56.002] ADC:3900 voltage:3.14 V | magnetic field not detected
[23:47:56.507] ADC:3901 voltage:3.14 V | magnetic field not detected
[23:47:57.011] ADC:3900 voltage:3.14 V | magnetic field not detected
[23:47:57.517] ADC:3895 voltage:3.14 V | magnetic field not detected
[23:47:58.021] ADC:3905 voltage:3.15 V | magnetic field not detected
[23:47:58.527] ADC:3899 voltage:3.14 V | magnetic field not detected
[23:47:59.031] ADC:3896 voltage:3.14 V | magnetic field not detected
[23:47:59.537] ADC:3898 voltage:3.14 V | magnetic field not detected
[23:48:00.041] ADC:3898 voltage:3.14 V | magnetic field not detected
[23:48:00.547] ADC:3900 voltage:3.14 V | magnetic field not detected
[23:48:01.054] ADC:3895 voltage:3.14 V | magnetic field not detected
[23:48:01.556] ADC:3901 voltage:3.14 V | magnetic field not detected
[23:48:02.061] ADC:3896 voltage:3.14 V | magnetic field not detected
[23:48:02.567] ADC:4026 voltage:3.24 V | magnetic field not detected
[23:48:03.074] ADC:3894 voltage:3.14 V | magnetic field not detected
[23:48:03.578] ADC:3898 voltage:3.14 V | magnetic field not detected
[23:48:04.083] ADC:3899 voltage:3.14 V | magnetic field not detected
[23:48:04.588] ADC:3900 voltage:3.14 V | magnetic field not detected
[23:48:05.094] ADC:3895 voltage:3.14 V | magnetic field not detected
[23:48:05.597] ADC:3904 voltage:3.15 V | magnetic field not detected
[23:48:06.103] ADC:3896 voltage:3.14 V | magnetic field not detected
[23:48:06.608] ADC:3903 voltage:3.15 V | magnetic field not detected
[23:48:07.113] ADC:3896 voltage:3.14 V | magnetic field not detected
[23:48:07.619] ADC:3893 voltage:3.14 V | magnetic field not detected
[23:48:08.123] ADC:3900 voltage:3.14 V | magnetic field not detected
[23:48:08.628] ADC:3899 voltage:3.14 V | magnetic field not detected
[23:48:09.133] ADC:3894 voltage:3.14 V | magnetic field not detected
[23:48:09.638] ADC:3606 voltage:2.91 V | magnetic field   detected
[23:48:10.145] ADC:3890 voltage:3.13 V | magnetic field not detected
[23:48:10.648] ADC:3885 voltage:3.13 V | magnetic field not detected
[23:48:11.159] ADC:0 voltage:0.00 V | magnetic field   detected
[23:48:11.658] ADC:3894 voltage:3.14 V | magnetic field not detected
[23:48:12.162] ADC:3882 voltage:3.13 V | magnetic field not detected
[23:48:12.667] ADC:3883 voltage:3.13 V | magnetic field not detected
[23:48:13.173] ADC:3886 voltage:3.13 V | magnetic field not detected
[23:48:13.678] ADC:3887 voltage:3.13 V | magnetic field not detected
[23:48:14.182] ADC:3883 voltage:3.13 V | magnetic field not detected
[23:48:14.688] ADC:3885 voltage:3.13 V | magnetic field not detected
[23:48:15.192] ADC:3858 voltage:3.11 V | magnetic field not detected
[23:48:15.697] ADC:3619 voltage:2.92 V | magnetic field   detected
[23:48:16.203] ADC:3796 voltage:3.06 V | magnetic field not detected
[23:48:16.707] ADC:3641 voltage:2.93 V | magnetic field   detected
[23:48:17.212] ADC:3850 voltage:3.10 V | magnetic field not detected
[23:48:17.717] ADC:3763 voltage:3.03 V | magnetic field not detected
[23:48:18.223] ADC:3646 voltage:2.94 V | magnetic field   detected
